method,kT,lim,r2,rms
QMC,2,min,0.9929407566087647,0.0003405412217595222
QMC,2,far,0.9586166878259863,0.001765428391583145
QMC,3,min,0.9951978809351737,0.0002808711120619479
QMC,3,far,0.9825626855255413,0.001145980645898002
QMC,4,min,0.9957071784014053,0.0002655596160460457
QMC,4,far,0.9907553556150381,0.0008344159323815042
QMC,5,min,0.9955503711797548,0.00027036626662117595
QMC,5,far,0.9937008706963399,0.0006887755856602227
QMC,6,min,0.9952260119964889,0.00028004722496140113
QMC,6,far,0.995049231037305,0.0006106239199045452
QMC,7,min,0.9948196219621819,0.00029172344839360927
QMC,7,far,0.9958333872767425,0.0005601818724707402
QMC,8,min,0.9944364507469072,0.0003023197922163897
QMC,8,far,0.9963145255302198,0.0005268466059721054
QMC,9,min,0.9942044660873348,0.0003085583742163725
QMC,9,far,0.9966228586336854,0.0005043268650980331
QMC,10,min,0.9939655730841923,0.0003148535742112599
QMC,10,far,0.9968348814422573,0.000488239007611445
QMC,11,min,0.9937039751096872,0.0003216057685693344
QMC,11,far,0.9969964762850091,0.0004756122323118547
QMC,12,min,0.9934865916904863,0.00032711071008198613
QMC,12,far,0.9971161753603692,0.0004660386195236758
QMC,13,min,0.9932704802150641,0.00033249310909880215
QMC,13,far,0.9972111264520874,0.00045830214998479206
QMC,14,min,0.9930720683615306,0.00033735908388717674
QMC,14,far,0.9972863039288629,0.00045208290605271335
QMC,15,min,0.9929148420040439,0.0003411657155135017
QMC,15,far,0.9973431894357191,0.0004473194454297073
QMC,16,min,0.9927294047581653,0.0003456014817293976
QMC,16,far,0.9973944848278832,0.0004429801708281265
QMC,17,min,0.9925801488456145,0.00034913083609318087
QMC,17,far,0.9974342488609433,0.00043958690667293004
QMC,18,min,0.9924425667053332,0.0003523528374376261
QMC,18,far,0.9974671288084067,0.0004367611846529282
QMC,19,min,0.992324283631132,0.0003550995083994301
QMC,19,far,0.997493982003594,0.00043443977069308683
QMC,20,min,0.9922151964043229,0.00035761394199182754
QMC,20,far,0.9975166714210462,0.000432468595988889
QMC,inf,min,0.9897202395046143,0.0004109434948089457
QMC,inf,far,0.9977073171708389,0.00041553678205757857
DFT-D2,2,min,0.9997024924776293,4.489090446611059e-05
DFT-D2,2,far,0.9985339479850662,0.00017875062596701312
DFT-D2,3,min,0.999720225976713,4.353244642725727e-05
DFT-D2,3,far,0.9984265432711029,0.00018518264535873717
DFT-D2,4,min,0.9997162303770625,4.384219926871881e-05
DFT-D2,4,far,0.9984204786949185,0.00018553917699170775
DFT-D2,5,min,0.9997162109945331,4.384369653645786e-05
DFT-D2,5,far,0.9984750643312454,0.00018230502650410066
DFT-D2,6,min,0.9997163438014234,4.38334364025668e-05
DFT-D2,6,far,0.9985530790436337,0.00017758050435912303
DFT-D2,7,min,0.9997153122150068,4.3913069671277365e-05
DFT-D2,7,far,0.9986750589352523,0.00016993043223395422
DFT-D2,8,min,0.9997093179910955,4.437296575059789e-05
DFT-D2,8,far,0.9987959058673396,0.00016199555639372627
DFT-D2,9,min,0.9996981877537862,4.521450794158466e-05
DFT-D2,9,far,0.9988865581789592,0.0001557781875032772
DFT-D2,10,min,0.9996834872451987,4.6302558385316566e-05
DFT-D2,10,far,0.9989618917241733,0.00015041605993141858
DFT-D2,11,min,0.9996668808220194,4.750170499413934e-05
DFT-D2,11,far,0.9990198558900664,0.00014615640392046745
DFT-D2,12,min,0.9996495847498523,4.871928201028254e-05
DFT-D2,12,far,0.9990645196281337,0.00014278751043975612
DFT-D2,13,min,0.9996315236575187,4.995905156284474e-05
DFT-D2,13,far,0.9991029578118772,0.00013982322537295797
DFT-D2,14,min,0.9996139437190649,5.113693468036484e-05
DFT-D2,14,far,0.9991222981654072,0.00013830770814210366
DFT-D2,15,min,0.9995971086287182,5.2240023448963394e-05
DFT-D2,15,far,0.9991572682932651,0.0001355244173279727
DFT-D2,16,min,0.9995805907242177,5.330014563990499e-05
DFT-D2,16,far,0.9991782201793574,0.000133829118715653
DFT-D2,17,min,0.9995650416723099,5.427917088982015e-05
DFT-D2,17,far,0.9991951860345503,0.00013244044571585303
DFT-D2,18,min,0.9995500887134958,5.520428942455305e-05
DFT-D2,18,far,0.9992099694278556,0.0001312184279994642
DFT-D2,19,min,0.9995358756240276,5.6069485277912426e-05
DFT-D2,19,far,0.9992225142563042,0.00013017245601451138
DFT-D2,20,min,0.9995224828153578,5.68727047346585e-05
DFT-D2,20,far,0.999233208072662,0.00012927413716423168
DFT-D2,inf,min,0.9991448061152124,7.610999150375376e-05
DFT-D2,inf,far,0.9993316606437426,0.0001206900312538322
DFT-D3,2,min,0.9974624074033589,0.0001636836882309088
DFT-D3,2,far,0.9834400577414538,0.0006360583398393168
DFT-D3,3,min,0.9963243220881515,0.00019699861699156443
DFT-D3,3,far,0.9935711503960636,0.00039630921920280604
DFT-D3,4,min,0.9963929726128761,0.00019515027737467396
DFT-D3,4,far,0.9967881882564951,0.0002801190102199716
DFT-D3,5,min,0.9967366490598911,0.00018562067307137517
DFT-D3,5,far,0.997763455351339,0.00023375253453196328
DFT-D3,6,min,0.9969865837282584,0.00017837090570224182
DFT-D3,6,far,0.9981537197762431,0.00021238133734615292
DFT-D3,7,min,0.9971523514608671,0.00017339542978313716
DFT-D3,7,far,0.9983442590691507,0.000201123924497812
DFT-D3,8,min,0.9972591924297534,0.00017011152016656436
DFT-D3,8,far,0.9984539635876006,0.0001943468032287793
DFT-D3,9,min,0.9973343772664606,0.00016776207717734363
DFT-D3,9,far,0.9985216343613883,0.00019004588576763558
DFT-D3,10,min,0.9973760375986227,0.00016644595943063608
DFT-D3,10,far,0.9985734252983832,0.00018668731145917022
DFT-D3,11,min,0.9974077546555348,0.00016543694610014016
DFT-D3,11,far,0.9986091637118888,0.00018433404314460497
DFT-D3,12,min,0.9974294630826317,0.0001647427744586621
DFT-D3,12,far,0.9986363353235117,0.00018252457158644998
DFT-D3,13,min,0.9974474431961252,0.00016416560093313797
DFT-D3,13,far,0.9986556243506071,0.0001812290696744136
DFT-D3,14,min,0.9974576803981144,0.0001638360715691308
DFT-D3,14,far,0.9986724055850604,0.00018009441737720794
DFT-D3,15,min,0.9974622268033743,0.00016368951279582787
DFT-D3,15,far,0.9986881275468583,0.0001790248624327056
DFT-D3,16,min,0.9974669921530332,0.00016353575510547457
DFT-D3,16,far,0.9986991419931753,0.00017827173429159186
DFT-D3,17,min,0.9974701119514212,0.0001634350140477472
DFT-D3,17,far,0.9987087755571779,0.0001776104078678819
DFT-D3,18,min,0.9974747458689178,0.0001632852660202387
DFT-D3,18,far,0.998713656261811,0.0001772744149028739
DFT-D3,19,min,0.997472889498578,0.0001633452723052161
DFT-D3,19,far,0.9987234074103963,0.0001766012209658107
DFT-D3,20,min,0.9974756257982508,0.0001632568150196139
DFT-D3,20,far,0.9987264071334877,0.00017639361114026709
DFT-D3,inf,min,0.9973769449440619,0.00016641717909444276
DFT-D3,inf,far,0.9987835377350995,0.00017239190270302063
DFT-MBD,2,min,0.9977907982440248,0.00025510979130904135
DFT-MBD,2,far,0.9884058787531372,0.0010470842040994999
DFT-MBD,3,min,0.9981060591291234,0.0002362069357581693
DFT-MBD,3,far,0.9906787323653492,0.0009388585767558612
DFT-MBD,4,min,0.9987162173844484,0.00019447115017473958
DFT-MBD,4,far,0.9934220581850721,0.0007886924855105514
DFT-MBD,5,min,0.7985576790213639,0.002436042135751045
DFT-MBD,5,far,0.896944548951443,0.0031217503809837857
DFT-MBD,6,min,0.9988185903857664,0.00018655620045905769
DFT-MBD,6,far,0.9964249127809952,0.0005814414784207522
DFT-MBD,7,min,0.9987409046245247,0.0001925922256477565
DFT-MBD,7,far,0.9972312589244783,0.0005116863845885019
DFT-MBD,8,min,0.9986419567793784,0.00020001668885774221
DFT-MBD,8,far,0.9977743952384966,0.00045876123168736154
DFT-MBD,9,min,0.9985420627080606,0.0002072425178292651
DFT-MBD,9,far,0.9981481006783959,0.0004184767897789944
DFT-MBD,10,min,0.9984495288965087,0.00021371808590198163
DFT-MBD,10,far,0.998410609114373,0.00038768415225148676
DFT-MBD,11,min,0.9983709053445592,0.0002190698430271884
DFT-MBD,11,far,0.9985993514985706,0.00036393788731984666
DFT-MBD,12,min,0.9983015853609403,0.0002236821352606978
DFT-MBD,12,far,0.9987375674232541,0.0003455149039444119
DFT-MBD,13,min,0.7695559814865764,0.002605506479702562
DFT-MBD,13,far,0.8951173549508415,0.00314930342031912
DFT-MBD,14,min,0.7689569105644152,0.002608890967751706
DFT-MBD,14,far,0.8973983562751703,0.0031148694435669992
DFT-MBD,15,min,0.7700922943695023,0.002602472813062511
DFT-MBD,15,far,0.8991000780616986,0.0030889302679730887
DFT-MBD,16,min,0.77096533229649,0.0025975268750549852
DFT-MBD,16,far,0.9006240492334717,0.0030655142377452893
DFT-MBD,17,min,0.9980803011384681,0.00023780774309395294
DFT-MBD,17,far,0.9990734542117912,0.0002960030133711037
DFT-MBD,18,min,0.9980521512930501,0.00023954496580391962
DFT-MBD,18,far,0.9991059349798179,0.00029076842297939815
DFT-MBD,19,min,0.772575183677884,0.0025883819577606757
DFT-MBD,19,far,0.9042081083613995,0.0030097267202000818
DFT-MBD,20,min,0.772840232901343,0.0025868732204070762
DFT-MBD,20,far,0.905156651083789,0.0029947883114607066
DFT-MBD,inf,min,0.9977000198579014,0.00026029838932517177
DFT-MBD,inf,far,0.9993340659593688,0.00025094485549914956
